1;1486;1263;1351;444;
5;849;1024;982;984;
5;829;801;903;1004;
10;1833;543;1773;1794;
20;1721;1764;1715;684;
30;1215;1310;1247;1115;
50;1247;1178;1573;1665;
100;1801;1727;2020;1880;
1000;10047;10198;9949;10088;
2000;11616870;11634664;11557646;11634924;
3000;152001;151167;151853;151893;
4000;15386283;15386493;15386394;15386442;
5000;1081890;1081665;1081933;1081751;
6000;107299079;107300454;107300401;107300478;
7000;79831936;79826396;79831901;79831919;
