12;9777;10081;10299;10252;9737;9975;
24;18962;18488;18686;18921;18408;18554;
36;427491045;427491291;427491213;427490995;427490963;427490881;
48;836738431;836738811;836738832;836738595;836738481;836738341;
60;1426178832;1426178471;1426178327;1426178469;1426178735;1426178328;
72;2276614024;2276733356;2276733241;2276731867;2276733608;2276733338;
