16;7984;7999;8284;8045;8039;8079;8363;7932;
32;15844;15247;15212;15948;15115;15287;15306;15984;
48;84171553;84171640;84171552;84172237;84171628;84171827;84172382;84172378;
64;402908190;402908202;402908184;402908143;402908777;402908050;402908937;402908798;
80;755014267;755014134;755014062;755014259;755014725;755014039;755014900;755014922;
96;1292515466;1292515561;1292516276;1292515549;1292515513;1292515577;1292516290;1292516169;
